player_name,date_str,year,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,dribbling,short_passing,ball_control,stamina
Aaron Appindangoye,2016-02-18,2016,67.0,71.0,right,medium,medium,51.0,61.0,49.0,54.0
Aaron Appindangoye,2015-11-19,2015,67.0,71.0,right,medium,medium,51.0,61.0,49.0,54.0
Aaron Appindangoye,2015-09-21,2015,62.0,66.0,right,medium,medium,51.0,61.0,49.0,54.0
Aaron Appindangoye,2015-03-20,2015,61.0,65.0,right,medium,medium,50.0,60.0,48.0,54.0
Aaron Appindangoye,2007-02-22,2007,61.0,65.0,right,medium,medium,50.0,60.0,48.0,54.0
Aaron Cresswell,2016-04-21,2016,74.0,76.0,left,high,medium,73.0,71.0,71.0,79.0
Aaron Cresswell,2016-04-07,2016,74.0,76.0,left,high,medium,73.0,71.0,71.0,79.0
Aaron Cresswell,2016-01-07,2016,73.0,75.0,left,high,medium,71.0,70.0,70.0,79.0
Aaron Cresswell,2015-12-24,2015,73.0,75.0,left,high,medium,71.0,70.0,70.0,79.0
Aaron Cresswell,2015-12-17,2015,73.0,75.0,left,high,medium,71.0,70.0,70.0,79.0
Aaron Cresswell,2015-10-16,2015,73.0,77.0,left,high,medium,71.0,70.0,70.0,79.0
Aaron Cresswell,2015-09-25,2015,74.0,78.0,left,high,medium,71.0,70.0,70.0,79.0
Aaron Cresswell,2015-09-21,2015,73.0,77.0,left,medium,medium,67.0,70.0,68.0,79.0
Aaron Cresswell,2015-01-09,2015,71.0,75.0,left,medium,medium,66.0,69.0,67.0,79.0
Aaron Cresswell,2014-12-05,2014,71.0,77.0,left,medium,medium,66.0,69.0,67.0,79.0
Aaron Cresswell,2014-11-07,2014,71.0,77.0,left,medium,medium,66.0,69.0,67.0,79.0
Aaron Cresswell,2014-09-18,2014,70.0,77.0,left,medium,medium,66.0,67.0,66.0,79.0
Aaron Cresswell,2014-05-02,2014,70.0,79.0,left,medium,medium,66.0,67.0,66.0,80.0
Aaron Cresswell,2014-04-04,2014,70.0,79.0,left,medium,medium,66.0,67.0,66.0,80.0
Aaron Cresswell,2014-03-14,2014,70.0,79.0,left,medium,medium,66.0,67.0,65.0,79.0
Aaron Cresswell,2013-12-13,2013,70.0,79.0,left,medium,medium,66.0,67.0,67.0,79.0
Aaron Cresswell,2013-11-08,2013,70.0,79.0,left,medium,medium,66.0,67.0,67.0,79.0
Aaron Cresswell,2013-10-04,2013,69.0,79.0,left,medium,medium,66.0,64.0,67.0,77.0
Aaron Cresswell,2013-09-20,2013,69.0,79.0,left,medium,medium,66.0,64.0,67.0,76.0
Aaron Cresswell,2013-05-03,2013,69.0,80.0,left,medium,medium,65.0,64.0,65.0,74.0
Aaron Cresswell,2013-03-22,2013,69.0,80.0,left,medium,medium,65.0,64.0,65.0,74.0
Aaron Cresswell,2013-03-15,2013,69.0,80.0,left,medium,medium,65.0,64.0,65.0,74.0
Aaron Cresswell,2013-02-22,2013,69.0,80.0,left,medium,medium,65.0,64.0,65.0,74.0
Aaron Cresswell,2013-02-15,2013,69.0,80.0,left,medium,medium,65.0,64.0,65.0,74.0
Aaron Cresswell,2012-08-31,2012,68.0,80.0,left,medium,medium,64.0,64.0,64.0,73.0
Aaron Cresswell,2012-02-22,2012,65.0,68.0,left,medium,medium,62.0,62.0,64.0,63.0
Aaron Cresswell,2011-08-30,2011,64.0,68.0,left,medium,medium,62.0,59.0,64.0,63.0
Aaron Cresswell,2010-08-30,2010,54.0,65.0,left,medium,medium,44.0,45.0,43.0,59.0
Aaron Cresswell,2010-02-22,2010,51.0,64.0,left,medium,medium,43.0,44.0,42.0,55.0
Aaron Cresswell,2009-08-30,2009,52.0,65.0,left,medium,medium,44.0,45.0,43.0,56.0
Aaron Cresswell,2009-02-22,2009,47.0,60.0,left,medium,medium,26.0,39.0,34.0,56.0
Aaron Cresswell,2008-08-30,2008,53.0,60.0,right,medium,medium,26.0,39.0,34.0,56.0
Aaron Cresswell,2007-02-22,2007,53.0,60.0,right,medium,medium,26.0,39.0,34.0,56.0
Aaron Doran,2016-01-07,2016,65.0,67.0,right,medium,medium,66.0,66.0,67.0,66.0
Aaron Doran,2015-10-09,2015,66.0,70.0,right,medium,medium,66.0,66.0,67.0,66.0
Aaron Doran,2015-09-21,2015,66.0,70.0,right,medium,medium,66.0,66.0,67.0,66.0
Aaron Doran,2014-12-12,2014,67.0,72.0,right,medium,medium,66.0,66.0,67.0,72.0
Aaron Doran,2014-09-18,2014,68.0,72.0,right,medium,medium,69.0,66.0,68.0,72.0
Aaron Doran,2014-04-18,2014,68.0,77.0,right,medium,medium,69.0,66.0,68.0,72.0
Aaron Doran,2014-03-14,2014,68.0,77.0,right,medium,medium,69.0,66.0,68.0,72.0
Aaron Doran,2014-01-31,2014,69.0,78.0,right,medium,medium,70.0,68.0,71.0,72.0
Aaron Doran,2013-11-29,2013,70.0,78.0,right,medium,medium,72.0,71.0,71.0,72.0
Aaron Doran,2013-09-20,2013,71.0,78.0,right,medium,medium,74.0,71.0,73.0,72.0
Aaron Doran,2013-05-31,2013,70.0,76.0,right,medium,medium,73.0,69.0,72.0,72.0
Aaron Doran,2013-04-26,2013,70.0,76.0,right,medium,medium,73.0,69.0,72.0,72.0
Aaron Doran,2013-04-19,2013,70.0,76.0,right,medium,medium,73.0,69.0,72.0,72.0
Aaron Doran,2013-04-05,2013,70.0,76.0,right,medium,medium,73.0,67.0,72.0,72.0
Aaron Doran,2013-03-22,2013,69.0,76.0,right,medium,medium,73.0,66.0,72.0,72.0
Aaron Doran,2013-03-08,2013,69.0,76.0,right,medium,medium,73.0,66.0,72.0,72.0
Aaron Doran,2013-02-15,2013,69.0,76.0,right,medium,medium,73.0,66.0,72.0,72.0
Aaron Doran,2012-08-31,2012,65.0,72.0,right,medium,medium,67.0,61.0,67.0,72.0
Aaron Doran,2012-02-22,2012,65.0,75.0,right,medium,medium,66.0,63.0,67.0,81.0
Aaron Doran,2011-08-30,2011,65.0,75.0,right,medium,medium,66.0,63.0,67.0,73.0
Aaron Doran,2011-02-22,2011,67.0,78.0,right,medium,medium,67.0,65.0,74.0,68.0
Aaron Doran,2010-08-30,2010,67.0,78.0,right,medium,medium,67.0,65.0,74.0,68.0
Aaron Doran,2010-02-22,2010,65.0,70.0,right,medium,medium,67.0,63.0,68.0,69.0
Aaron Doran,2009-08-30,2009,65.0,70.0,right,medium,medium,67.0,63.0,68.0,69.0
Aaron Doran,2009-02-22,2009,59.0,70.0,right,medium,medium,65.0,53.0,54.0,69.0
Aaron Doran,2007-02-22,2007,59.0,70.0,right,medium,medium,65.0,53.0,54.0,69.0
