Source,Target,Type,Weight
9,5,Directed,8
4,8,Directed,7
9,2,Directed,6
6,1,Directed,6
8,1,Directed,6
6,8,Directed,6
2,5,Directed,6
2,10,Directed,5
3,6,Directed,4
9,1,Directed,4
1,3,Directed,4
6,3,Directed,4
2,9,Directed,4
8,9,Directed,4
10,11,Directed,4
11,9,Directed,4
10,2,Directed,3
9,6,Directed,3
2,8,Directed,3
3,8,Directed,3
3,11,Directed,3
11,8,Directed,3
1,5,Directed,3
7,3,Directed,3
6,7,Directed,3
11,7,Directed,3
1,9,Directed,3
3,9,Directed,3
5,1,Directed,3
1,6,Directed,3
3,7,Directed,3
5,2,Directed,3
5,9,Directed,3
10,4,Directed,2
7,9,Directed,2
8,10,Directed,2
9,3,Directed,2
6,5,Directed,2
8,6,Directed,2
11,3,Directed,2
10,9,Directed,2
7,11,Directed,2
5,10,Directed,2
11,10,Directed,2
6,9,Directed,2
9,11,Directed,2
11,4,Directed,2
4,9,Directed,2
6,11,Directed,2
3,1,Directed,2
10,1,Directed,2
2,7,Directed,1
8,3,Directed,1
4,11,Directed,1
7,6,Directed,1
4,3,Directed,1
2,4,Directed,1
4,7,Directed,1
7,8,Directed,1
4,10,Directed,1
7,5,Directed,1
10,7,Directed,1
10,5,Directed,1
8,5,Directed,1
10,6,Directed,1
4,5,Directed,1
4,2,Directed,1
1,2,Directed,1
11,1,Directed,1
1,10,Directed,1
8,2,Directed,1
9,8,Directed,1
4,1,Directed,1
1,8,Directed,1
10,8,Directed,1
11,6,Directed,1
